OBJECTID,STRATUMA,Shape_Length,Shape_Area,CenterX,CenterY,AreaSQkm
12978,01060,14816.000000007451000,13719616.000013798000000,-71.858830504020787,40.267539063584152,13.719616000013799
12979,01060,14815.999999988824000,13719615.999979302000000,-71.815187968070362,40.267416176841358,13.719615999979302
12980,01060,14815.999999992549000,13719615.999986202000000,-71.771545594935773,40.267277490696443,13.719615999986202
12981,01060,14816.000000003725000,13719616.000006899000000,-71.727903404284433,40.267123005245068,13.719616000006900
12982,01060,14815.999999992549000,13719615.999986202000000,-71.684261415783425,40.266952720593800,13.719615999986202
12983,01060,14815.999999988824000,13719615.999979302000000,-71.640619649099250,40.266766636860069,13.719615999979302
12984,01060,14816.000000007451000,13719616.000013798000000,-71.596978123897699,40.266564754172258,13.719616000013799
12985,01060,14815.999999992549000,13719615.999986202000000,-71.553336859844009,40.266347072669618,13.719615999986202
12986,01060,14815.999999988824000,13719615.999979302000000,-71.509695876602777,40.266113592502258,13.719615999979302
12987,01060,14816.000000007451000,13719616.000013798000000,-71.466055193837633,40.265864313831230,13.719616000013799
12988,01060,14815.999999988824000,13719615.999979302000000,-71.422414831211583,40.265599236828471,13.719615999979302
12989,01060,14816.000000007451000,13719616.000013798000000,-71.378774808386680,40.265318361676790,13.719616000013799
12990,01060,14815.999999988824000,13719615.999979302000000,-71.335135145024111,40.265021688569902,13.719615999979302
12991,01060,14815.999999992549000,13719615.999986202000000,-71.291495860784067,40.264709217712401,13.719615999986202
12992,01060,14816.000000003725000,13719616.000006899000000,-71.247856975325632,40.264380949319786,13.719616000006900
12993,01060,14815.999999992549000,13719615.999986202000000,-71.204218508306951,40.264036883618431,13.719615999986202
12994,01060,14815.999999992549000,13719615.999986202000000,-71.160580479384976,40.263677020845584,13.719615999986202
12995,01060,14757.949947980245000,13713925.297284413000000,-71.116951643774527,40.263308323850929,13.713925297284414
12996,01070,392.123867188593690,5690.702722486446900,-71.095959925738896,40.246702732200262,0.005690702722486
12997,01060,13292.588216683494000,9802125.208432469500000,-71.075665966589952,40.267238620400143,9.802125208432470
12998,01070,9795.836400861520800,3917490.791553732000000,-71.067400208318304,40.252078422998530,3.917490791553732
12999,01060,9941.683390578886200,4133433.897329061300000,-71.033918500625703,40.273550666676009,4.133433897329061
13000,01070,12775.632240830622000,9586182.102650241900000,-71.027836924065838,40.257738654991286,9.586182102650241
13001,01060,3412.701898738761000,362606.804796702340000,-71.001881527710438,40.277378935071717,0.362606804796702
13002,01070,14433.643435720374000,13357009.195217097000000,-70.985602889422097,40.261664700307733,13.357009195217097
13003,01070,14815.999999988824000,13719615.999979302000000,-70.942397594132714,40.261640759975272,13.719615999979302
13004,01070,14816.000000007451000,13719616.000013798000000,-70.898762606516740,40.261186120365551,13.719616000013799
13005,01070,14815.999999988824000,13719615.999979302000000,-70.855128194559967,40.260715685649920,13.719615999979302
13006,01070,14815.999999992549000,13719615.999986202000000,-70.811494377908460,40.260229456152651,13.719615999986202
13007,01070,14816.000000007451000,13719616.000013798000000,-70.767861176206438,40.259727432208940,13.719616000013799
13008,01070,14815.999999988824000,13719615.999979302000000,-70.724228609096741,40.259209614164853,13.719615999979302
13009,01060,5388.473835854601900,709436.792621537110000,-70.667156556076165,40.273228586789848,0.709436792621537
13010,01070,14257.271470988911000,13010179.207364665000000,-70.681329661478486,40.257882916679890,13.010179207364665
13011,01060,9474.180811108588400,3900201.931644763300000,-70.634392911409790,40.269842514057387,3.900201931644763
13012,01070,12889.431552381753000,9819414.068362135400000,-70.637987362418059,40.253472832597673,9.819414068362136
13013,01060,10254.511608364537000,5245460.898105947300000,-70.592816912114444,40.267830781434945,5.245460898105947
13014,01070,11980.680440100388000,8474155.101880254200000,-70.593655648383148,40.251204108302638,8.474155101880255
13015,01100,1655.134995210701400,90008.154073018435000,-70.528564112716921,40.271248538769406,0.090008154073018
13016,01060,10010.500890317267000,5531517.128372849900000,-70.551537745614695,40.265700290098899,5.531517128372850
13017,01070,11269.210710632167000,7244552.388379379200000,-70.550803182055120,40.249202668292291,7.244552388379379
13018,01110,1599.896648205298100,66626.662926581528000,-70.528699440377636,40.254107833202688,0.066626662926582
13019,01100,13619.535287825907000,11523789.198235497000000,-70.503151704280484,40.258007712572315,11.523789198235496
13020,01070,2556.108701348896800,169694.733057292290000,-70.526996309589080,40.243332959094843,0.169694733057292
13021,01110,6524.744858843443600,1742068.409235462300000,-70.520152934489730,40.246370439777444,1.742068409235462
13022,01100,14815.999999988824000,13719615.999979302000000,-70.462447632646231,40.255771050540375,13.719615999979302
13023,01100,14815.999999992549000,13719615.999986202000000,-70.418820057528023,40.255142684395842,13.719615999986202
13024,01100,14816.000000007451000,13719616.000013798000000,-70.375193274077603,40.254498527310496,13.719616000013799
13025,01100,14815.999999988824000,13719615.999979302000000,-70.331567301920444,40.253838579728139,13.719615999979302
13026,01100,14816.000000007451000,13719616.000013798000000,-70.287942160679691,40.253162842103443,13.719616000013799
13027,01100,14815.999999988824000,13719615.999979302000000,-70.244317869976328,40.252471314901918,13.719615999979302
13028,01100,14815.999999992549000,13719615.999986202000000,-70.200694449428994,40.251763998599920,13.719615999986202
13029,01100,14816.000000003725000,13719616.000006899000000,-70.157071918653941,40.251040893684653,13.719616000006900
13030,01100,14815.999999992549000,13719615.999986202000000,-70.113450297265089,40.250302000654166,13.719615999986202
13031,01100,14815.999999992549000,13719615.999986202000000,-70.069829604873902,40.249547320017342,13.719615999986202
13032,01100,14816.000000003725000,13719616.000006899000000,-70.026209861089256,40.248776852293886,13.719616000006900
13033,01100,14815.999999992549000,13719615.999986202000000,-69.982591085517541,40.247990598014376,13.719615999986202
13034,01100,14815.999999988824000,13719615.999979302000000,-69.938973297762558,40.247188557720200,13.719615999979302
13035,01100,14816.000000003725000,13719616.000006899000000,-69.895356517425341,40.246370731963566,13.719616000006900
13036,01100,14815.999999996275000,13719615.999993101000000,-69.851740764104221,40.245537121307500,13.719615999993101
13037,01100,14815.999999988824000,13719615.999979302000000,-69.808126057394915,40.244687726325878,13.719615999979302
13038,01100,14816.000000003725000,13719616.000006899000000,-69.764512416890085,40.243822547603386,13.719616000006900
13039,01100,14815.999999988824000,13719615.999979302000000,-69.720899862179664,40.242941585735529,13.719615999979302
13040,01100,14815.999999996275000,13719615.999993101000000,-69.677288412850643,40.242044841328614,13.719615999993101
13041,01100,14816.000000003725000,13719616.000006899000000,-69.633678088486917,40.241132314999767,13.719616000006900
13042,01100,14815.999999988824000,13719615.999979302000000,-69.590068908669537,40.240204007376931,13.719615999979302
13043,01100,14815.999999996275000,13719615.999993101000000,-69.546460892976313,40.239259919098828,13.719615999993101
13044,01100,14816.000000003725000,13719616.000006899000000,-69.502854060981932,40.238300050814999,13.719616000006900
13045,01100,14815.999999988824000,13719615.999979302000000,-69.459248432257979,40.237324403185795,13.719615999979302
