                      Estimate   Std. Error
Epsiloninput1_st  3.657731e+00 4.822806e+00
Epsiloninput1_st  7.130864e-03 4.902995e+00
Epsiloninput1_st  4.021961e-02 4.910716e+00
Epsiloninput1_st  1.506382e+00 4.734062e+00
Epsiloninput1_st  3.639270e-01 3.953494e+00
Epsiloninput1_st  2.885506e+00 4.861382e+00
Epsiloninput1_st  1.034950e+00 4.996765e+00
Epsiloninput1_st -5.337101e-01 5.138279e+00
Epsiloninput1_st -2.674952e+00 4.793933e+00
Epsiloninput1_st  2.680371e-03 4.752315e+00
Epsiloninput1_st -1.431939e+00 3.985376e+00
Epsiloninput1_st -4.080561e+00 4.651822e+00
Epsiloninput1_st -2.097117e+00 5.177263e+00
Epsiloninput1_st  6.388049e-03 4.060871e+00
Epsiloninput1_st  2.637424e-02 3.979881e+00
Epsiloninput1_st -2.226171e+00 4.781824e+00
Epsiloninput1_st  1.976233e+00 3.818606e+00
Epsiloninput1_st  1.726830e+00 4.862033e+00
Epsiloninput1_st  2.864727e+00 4.994803e+00
Epsiloninput1_st  1.981012e+00 4.935878e+00
Epsiloninput1_st  1.646480e+00 5.248942e+00
Epsiloninput1_st -2.065176e+00 4.533324e+00
Epsiloninput1_st  7.624505e-01 4.618241e+00
Epsiloninput1_st  4.595128e-02 5.232220e+00
Epsiloninput1_st  1.351769e-03 3.910806e+00
Epsiloninput1_st  3.203582e+00 4.843859e+00
Epsiloninput1_st  1.194666e+00 3.220552e+00
Epsiloninput1_st -1.292735e+00 4.798560e+00
Epsiloninput1_st  2.654992e-02 3.844994e+00
Epsiloninput1_st  8.411345e-01 4.967515e+00
Epsiloninput1_st  1.934208e+00 5.004848e+00
Epsiloninput1_st -1.995258e-01 4.732932e+00
Epsiloninput1_st  7.430857e-01 4.888516e+00
Epsiloninput1_st -6.018571e+00 4.436437e+00
Epsiloninput1_st  1.085254e+00 5.017282e+00
Epsiloninput1_st  3.460138e+00 5.241385e+00
Epsiloninput1_st  3.147493e-03 4.852220e+00
Epsiloninput1_st  3.730981e+00 4.597945e+00
Epsiloninput1_st  2.338814e+00 4.253798e+00
Epsiloninput1_st  4.796110e-02 4.398310e+00
Epsiloninput1_st  9.031052e-01 5.340244e+00
Epsiloninput1_st  3.546335e-03 4.849819e+00
Epsiloninput1_st  2.337336e-02 4.030230e+00
Epsiloninput1_st -1.088212e+00 4.471142e+00
Epsiloninput1_st -5.115671e-01 4.162773e+00
Epsiloninput1_st  4.776674e-02 4.354783e+00
Epsiloninput1_st -7.319044e+00 5.016449e+00
Epsiloninput1_st -2.645950e-01 4.985739e+00
Epsiloninput1_st  1.368213e+00 4.944102e+00
Epsiloninput1_st  1.834186e-03 4.946298e+00
Epsiloninput1_st  2.056930e+00 4.001234e+00
Epsiloninput1_st -5.478489e+00 4.810817e+00
Epsiloninput1_st -7.913971e+00 4.682170e+00
Epsiloninput1_st  1.134276e+00 5.040599e+00
Epsiloninput1_st  2.347718e+00 5.223622e+00
Epsiloninput1_st  1.447807e-02 4.473728e+00
Epsiloninput1_st  1.811233e+00 4.992568e+00
Epsiloninput1_st  1.627255e-02 4.199583e+00
Epsiloninput1_st -1.806338e+00 5.282862e+00
Epsiloninput1_st -7.283705e-01 3.022507e+00
Epsiloninput1_st -9.040724e-01 4.231640e+00
Epsiloninput1_st -9.472280e-01 4.469204e+00
Epsiloninput1_st -1.930698e+00 4.256526e+00
Epsiloninput1_st  3.238598e+00 4.919827e+00
Epsiloninput1_st  4.113836e-03 4.841770e+00
Epsiloninput1_st  1.740781e+00 4.805016e+00
Epsiloninput1_st  8.949985e-03 4.305478e+00
