"FID_1,N,9,0","Id,N,6,0","FID_2,N,9,0","AREA,N,13,11","PERIMETER,N,13,11","AREA_KM2,N,19,11","PERIMETER_,N,19,11","STRATUM,N,14,0","STATION,C,8","LONGITUDE,N,19,11","LATITUDE,N,19,11"
117484,0,6575,9677770,19937.1,9.677681,19.9370664063,50,412-122,-135.959805355,57.517868816
117289,0,6587,21417400,18428.7,21.417386,18.428703125,530,266-147,-148.063479826,58.6834409764
117290,0,6587,21417400,18428.7,21.417386,18.428703125,530,266-147,-147.999664479,58.6804666429
117473,0,6595,18401500,16515.7,18.40147,16.5156542969,550,404-124,-136.618319238,57.6140238019
117288,0,6597,24695100,19669.7,24.69515,19.6697539063,530,265-147,-148.127306168,58.6863835838
117471,0,6607,12634800,17594.4,12.634757,17.594328125,550,403-124,-136.73842988,57.6311299979
117472,0,6607,12634800,17594.4,12.634757,17.594328125,550,403-124,-136.678360064,57.6225914223
117287,0,6609,8346350,12513,8.346293,12.5129941406,330,264-147,-148.191143389,58.6892944574
117477,0,6610,23286300,18967.1,23.286448,18.967140625,150,407-123,-136.378447372,57.5794632751
117286,0,6614,22404500,18917.2,22.404472,18.9171445312,330,263-147,-148.254991374,58.692173589
117482,0,6615,15549200,18162.1,15.549246,18.162140625,50,411-122,-136.079268989,57.535611541
117284,0,6620,25111200,20068.8,25.111124,20.0687480469,330,262-147,-148.382719174,58.6978365956
117285,0,6620,25111200,20068.8,25.111124,20.0687480469,330,262-147,-148.318850007,58.695020971
125826,0,5037,25092000,20053.6,25.092164,20.0536191406,143,372-141,-139.304879669,58.3732189065
125648,0,5067,10599400,16068.5,10.599476,16.0684628906,133,234-158,-150.649154077,59.175103205
125688,0,5068,25116300,20085.1,25.116298,20.0850878906,134,266-156,-148.0586013,59.0824454942
125670,0,5072,25086200,20073.8,25.086218,20.0738359375,133,252-157,-149.222581003,59.1305230318
125671,0,5072,25086200,20073.8,25.086218,20.0738359375,133,252-157,-149.157831618,59.1281255835
125647,0,5079,13850000,16167.6,13.849998,16.1676503906,33,233-158,-150.714081907,59.176757976
125844,0,5080,25268600,20118.9,25.268464,20.1188164063,143,385-138,-138.193992011,58.2373949008
125646,0,5083,11409000,14966.8,11.408945,14.9667919922,133,233-158,-150.779016024,59.1783803927
